Counter Presentation Path,Proposed Alias Naming
[Huawei].[Huawei PS 3G CELL Accessability and Usability Hourly].[PSRAB Congestion Rate_Denominator],PSRAB Attempt
[Huawei].[Huawei PS 3G CELL Retainability Hourly].[HSDPA Drop Rate_Denominator],HSDPA Attempt
[Huawei].[Huawei PS 3G CELL Retainability Hourly].[HSDPA Drop Rate_Numerator],HSDPA Drop 
[Huawei].[Huawei PS 3G CELL Retainability Hourly].[HSUPA Drop Rate_Numerator],HSUPA Drop 
[Huawei].[Huawei PS 3G CELL Retainability Hourly].[HSUPA Drop Rate_Denominator],HSUPA Attempt
[Huawei].[Huawei PS 3G CELL Retainability Hourly].[Inter-RAT HO PS UTRAN Success Rate_Numerator],Inter-RAT HO PS UTRAN Success 
[Huawei].[Huawei PS 3G CELL Retainability Hourly].[Inter-RAT HO PS UTRAN Success Rate_Denominator],Inter-RAT HO PS UTRAN Attempt
[Huawei].[Huawei PS 3G CELL Retainability Hourly].[PS Call Drop Rate_Denominator],PS Call Attempt
[Huawei].[Huawei PS 3G CELL Retainability Hourly].[PS Call Drop Rate_Numerator],PS Call Drop 
[Huawei].[Huawei PS 4G EUTRANCELL Hourly].[Availbility Num],
[Huawei].[Huawei PS 4G EUTRANCELL Hourly].[Availability Den],
[Huawei].[Huawei PS 4G EUTRANCELL Hourly].[RRC Setup Success Rate_Denominator],RRC Setup Attempt
[Huawei].[Huawei PS 4G EUTRANCELL Hourly].[RRC Setup Success Rate_Numerator],RRC Setup Success 
[Huawei].[Huawei PS 4G EUTRANCELL Hourly].[ERAB Setup Success Rate_Denominator],ERAB Setup Attempt
[Huawei].[Huawei PS 4G EUTRANCELL Hourly].[ERAB Setup Success Rate_Numerator],ERAB Setup Success 
[Huawei].[Huawei PS 4G EUTRANCELL Hourly].[ERAB Drop Rate_Denominator],ERAB Attempt
[Huawei].[Huawei PS 4G EUTRANCELL Hourly].[ERAB Drop Rate_Numerator],ERAB Drop 
[Huawei].[Huawei PS 4G EUTRANCELL Hourly].[Mobility Success Rate_Denominator],Mobility Attempt
[Huawei].[Huawei PS 4G EUTRANCELL Hourly].[Mobility Success Rate_Numerator],Mobility Success 
[Huawei].[Huawei PS 4G EUTRANCELL Hourly].[Outgoing HO Success Rate_Denominator],Outgoing HO Attempt
[Huawei].[Huawei PS 4G EUTRANCELL Hourly].[Outgoing HO Success Rate_Numerator],Outgoing HO Success 
[Huawei].[Huawei PS 4G EUTRANCELL Hourly].[Incoming HO Success Rate_Numerator],Incoming HO Success 
[Huawei].[Huawei PS 4G EUTRANCELL Hourly].[Incoming HO Success Rate_Denominator],Incoming HO Attempt
[Huawei].[Huawei PS 4G EUTRANCELL Hourly].[CSSR (Call Setup Success Rate)_Denominator],CSSR (Call Setup Attempt)
[Huawei].[Huawei PS 4G EUTRANCELL Hourly].[CSSR (Call Setup Success Rate)_Numerator],CSSR (Call Setup Success )
[4G].[Huawei_PS_4G_EUTRANCELL_Hourly].[HUA_UDC1110116],
[2G].[Ericsson_CS_2G_CELLACUS_Hourly].[ERI_UDC1120010],
[2G].[Ericsson_CS_2G_CELLACUS_Hourly].[ERI_UDC1120015],
[Ericsson].[Ericsson CS 2G CELLACUS Hourly].[Call Setup Success Rate - 2G - Numerator1],Call Setup Success 
[Ericsson].[Ericsson CS 2G CELLACUS Hourly].[Call Setup Success Rate - 2G - Numerator2],Call Setup Success 
[Ericsson].[Ericsson CS 2G CELLACUS Hourly].[Call Setup Success Rate - 2G - Denominator1],Call Setup Attempt
[Ericsson].[Ericsson CS 2G CELLACUS Hourly].[Call Setup Success Rate - 2G - Denominator2],Call Setup Attempt
[Ericsson].[Ericsson CS 2G CELLACUS Hourly].[TCH Assignment Success Rate - Denominator],TCH Assignment Attempt
[Ericsson].[Ericsson CS 2G CELLACUS Hourly].[TCH Assignment Success Rate - Numerator],TCH Assignment Success 
[Ericsson].[Ericsson CS 2G CELLACUS Hourly].[RAACH Failure Rate - Denominator],RAACH Attempt
[Ericsson].[Ericsson CS 2G CELLACUS Hourly].[RAACH Failure Rate - Numerator],RAACH Failure 
[Ericsson].[Ericsson CS 2G CELL RET Hourly].[Outgoing HO Success Rate - Denominator],Outgoing HO Attempt
[Ericsson].[Ericsson CS 2G CELL RET Hourly].[Outgoing HO Success Rate - Numerator],Outgoing HO Success 
[Ericsson].[Ericsson CS 2G CELL RET Hourly].[Incoming HO Success Rate - Numerator],Incoming HO Success 
[Ericsson].[Ericsson CS 2G CELL RET Hourly].[Incoming HO Success Rate - Denominator],Incoming HO Attempt
[Ericsson].[Ericsson CS 2G CELL RET Hourly].[Call Drop Rate - Numerator],Call Drop 
[Ericsson].[Ericsson CS 2G CELL RET Hourly].[Call Drop Rate - Denominator],Call Attempt
[Ericsson].[Ericsson CS 2G CELL RET Hourly].[TCH Setup + HO Success Rate - Numerator],TCH Setup + HO Success 
[Ericsson].[Ericsson CS 2G CELL RET Hourly].[TCH Setup + HO Success Rate - Denominator],TCH Setup + HO Attempt
[Ericsson].[Ericsson CS 2G CELL RET Hourly].[SD Drop (SS) - Numerator],
[Ericsson].[Ericsson CS 2G CELL RET Hourly].[SD Drop (SS) - Denominator],
[Ericsson].[Ericsson CS 2G CELL RET Hourly].[SD Drop (Qual) - Denominator],
[Ericsson].[Ericsson CS 2G CELL RET Hourly].[SD Drop (Qual) - Numerator],
[Ericsson].[Ericsson CS 2G CELL RET Hourly].[SD Drop (other) - Numerator1],
[Ericsson].[Ericsson CS 2G CELL RET Hourly].[SD Drop (other) - Numerator4],
[Ericsson].[Ericsson CS 2G CELL RET Hourly].[SD Drop (other) - Denominator1],
[Ericsson].[Ericsson CS 2G CELL RET Hourly].[SD Drop (other) - Numerator3],
[Ericsson].[Ericsson CS 2G CELL RET Hourly].[SD Drop (other) - Numerator2],
[Ericsson].[Ericsson CS 2G CELL RET Hourly].[Internal HO Success Rate - Numerator],Internal HO Success 
[Ericsson].[Ericsson CS 2G CELL RET Hourly].[Internal HO Success Rate - Denominator],Internal HO Attempt
[Ericsson].[Ericsson CS 2G CELL RET Hourly].[External HO Success Rate - Denominator],External HO Attempt
[Ericsson].[Ericsson CS 2G CELL RET Hourly].[External HO Success Rate - Numerator],External HO Success 
[Ericsson].[Ericsson CS 2G CELL RET Hourly].[TCH Drop Rate - Signal Strength - Numerator],TCH Drop - Signal Strength
[Ericsson].[Ericsson CS 2G CELL RET Hourly].[TCH Drop Rate - Signal Strength - Denominator],TCH Attempt - Signal Strength
[Ericsson].[Ericsson CS 2G CELL RET Hourly].[TCH Drop Rate - Quality - Numerator],TCH Drop - Quality
[Ericsson].[Ericsson CS 2G CELL RET Hourly].[TCH Drop Rate - Quality - Denominator],TCH Attempt - Quality
[Ericsson].[Ericsson CS 2G CELL RET Hourly].[TCH Drop Rate - Others - Numerator],TCH Drop -Others
[Ericsson].[Ericsson CS 2G CELL RET Hourly].[TCH Drop Rate - Others - Denominator],TCH Attempt -Others
[Ericsson].[Ericsson CS 2G CELL RET Hourly].[Total SDCCH Drop Rate - Numerator2],Total SDCCH Drop 
[Ericsson].[Ericsson CS 2G CELL RET Hourly].[Total SDCCH Drop Rate - Denominator2],Total SDCCH Attempt
[Ericsson].[Ericsson CS 2G CELL RET Hourly].[Total SDCCH Drop Rate - Denominator1],Total SDCCH Attempt
[Ericsson].[Ericsson CS 2G CELL RET Hourly].[Total SDCCH Drop Rate - Numerator1],Total SDCCH Drop 
[Ericsson].[Ericsson PS 2G CELL Hourly].[GPRS Failure Rate - Numerator],GPRS Failure 
[Ericsson].[Ericsson PS 2G CELL Hourly].[GPRS Failure Rate - Denominator],GPRS Attempt
[Ericsson].[Ericsson PS 2G CELL Hourly].[TBF Blocking DL - Denominator],
[Ericsson].[Ericsson PS 2G CELL Hourly].[TBF Blocking DL - Numerator],
[Ericsson].[Ericsson PS 2G CELL Hourly].[TBF Blocking UL - Denominator],
[Ericsson].[Ericsson PS 2G CELL Hourly].[TBF Blocking UL - Numerator],
[Ericsson].[Ericsson PS 2G CELL Hourly].[PDCH Congestion Rate - Numerator1],PDCH Congestion 
[Ericsson].[Ericsson PS 2G CELL Hourly].[PDCH Congestion Rate- Denominator1],PDCH Attempt
[Ericsson].[Ericsson PS 2G CELL Hourly].[TBF Establishment Success Rate DL Num],
[Ericsson].[Ericsson PS 2G CELL Hourly].[TBF Establishment Success Rate DL Den],
[Ericsson].[Ericsson CS 3G CELL Hourly].[AMR Inter-RAT Prep Success Rate - Numerator],AMR Inter-RAT Prep Success 
[Ericsson].[Ericsson CS 3G CELL Hourly].[AMR Inter-RAT Prep Success Rate - Denominator],AMR Inter-RAT Prep Attempt
